#ID       ;SED+ARKO;SED;ARKO;OTHER;CULTURE;CHARACTERS
#00_dynasties.txt;;;;;;
238       ;        ;;von Arnstein;von Arstein;german;212730|910050
239       ;        ;;van Geldern;von Geldern;dutch;212721
240       ;        ;;de Savoie;de Savoie;frankish;10078|1176|1178|1180|1181|1182|1183|1184|212671|212672|213110|213111|213115|213116|213117|213118|213119|213120|462030|462093|462140|462143|462144|462150|462151|462152|462153|462154|462155|462156|462158|462159|462671|462690|462691|462692|462693|462694|462695|462696|462697|462698|462699|462702|462703|462704|463143|70875|70876|70877|70878|70879|70880|70881|70882|70883|70884|70885|70886|70887|70889|70890|70891|70892|70893|70894|70896|70897|70900|70901|70902|70903|70904|70905|70906|70907|70908|70909|70911|70912|70913|70914|70915|70916|70917|70918|70919|70920|70921|70922|70927|70928|70929|70930|70931|70932|70933|70934|70935|70936|70937|70938|70948|70949|70950|70951|70952|70953|70955|70956|70957|70958|70961|70962|70963|70964|70965|70966|70967|70968|70969|7631|462157|70926|70941|70942|70943|70944
241       ;        ;;de Joinville;de Joinville;frankish;454535|462650|465400
242       ;        ;;de Vaudémont;de Vaudemont;frankish;
243       ;        ;;von Veldenz;von Veldenz;german;212615
244       ;        ;;von Landsberg;von Landsberg;german;
245       ;        ;;von Franken;von Franken;german;
246       ;        ;;Fryske;Folcwalding;frisian;167704|167705|168212|168314|131724|131725|131726|131727|131728|131729|131730|168618|168220|168619|168620|168621|168622|168623|168626|168627|168628
247       ;        ;;von Babenberg;von Babenberg;german;10083|10084|10085|10086|10089|10091|10092|10093|10095|10096|10097|10098|106526|11061|11067|11069|1353|1434|1435|1437|144190|20261|212530|212532|212533|212534|212535|212536|212540|212542|212545|212546|212548|212852|212890|212926|213527|231030|30103|30671|30810|4260|7200|7505|7632|7664|7669|7672|7675|7685|7943|7969|7970|7971|7972|7973|7521|7523|7698|125800|31539|31527|31528|33387|206860|7673|33469|33470|33471|33472|33473|33475|33476|33477|33478|33479|163048|7671|168300|168301|168302|168303|168304|168305|168306|183188|183189
248       ;        ;;von Berg;von Berg;german;231042|30320|30343|30344|30345|30346|30347|30349|30353|30354|30355|462163|33161|33168|33174|33175|33176|33177|33178|33179|33180|33181|33182|33183|33185|33186|33187|462002
249       ;        ;;Jankovský z Vlašimi;Jankovský z Vlašimi;bohemian;
250       ;        ;;Berka z Dubé;z Psova;bohemian;501|168344
251       ;        ;;von Hohenstauf;von Hohenstauf;german;
252       ;        ;;von Saarbrücken;von Saarbrucken;german;212496
253       ;        ;;von Puteledorg;von Puteledorg;german;
254       ;        ;;von Henneberg;von Henneberg;german;
255       ;        ;;von Stade;von Stade;german;
256       ;        ;;von Sommerschenburg;von Sommerchenberg;german;212450|212452|31816|31817|31820|31821|31822|31824
257       ;        ;;Ludowinger;Ludowinger;german;20229|20230|20231|20233|20234|212430|212431|212433|212434|212436|212437|212440|212441|212442|212443|30404|70616|7501|7502|7503|7522|33372|33373|33374|33375|33376|33377|33379|33380|33381|33383|33384|33385|33389|33390|33418
258       ;        ;;von Kirchberg;von Kirchberg;german;212422
259       ;        ;;von Württemberg;von Württemberg;german;
260       ;        ;;von Tübingen;von Tübingen;german;33551|33553|33554|33555|33556|33557|33558|33559|33560|33561|33562|33563|33564|33565|33566|33567|33568|33569|33570|33666|33667|33668|33669|33670|33671|33672
261       ;        ;;von Zähringen;von Zähringen;german;10087|10088|1610|1611|20245|212400|212402|212403|212405|212410|212601|213140|213141|213143|213144|213146|213148|213153|462301|462310|462312|462313|462314|462316|462317|70611|7520|7524|7593|7657|33529|33530|33531|33532|33533|33534|33535|33536|33537|33538|33539|33540|33541|33542|33543|33544|33545|33546|33547|33548|33549|33550|33716|33717|161467|161700|161701
262       ;        ;;von Raabs;von Raabs;german;
263       ;        ;;von Nassau;von Nassau;german;212370|212372|212373|212374|30681|30682|30683|30684|30685|30700|30702|30703|30704|30705|30706|30707|30708|30709|30710|30711|30712|30713|30714|30715|30716|30717|30718|30719|30720|30721|30722|30723|30724|30725|30726|462360|462362|462364|462365|462366|462368|462369|462370|462371|462372|462374|462375|462376|462377|7538
264       ;        ;;Schauenburger;Schauenburger;german;
265       ;        ;;d'Hauteville;d'Hauteville;frankish;
266       ;        ;;d'Urgell;d'Urgell;catalan;
267       ;        ;;de Vilademuls;de Vilademuls;catalan;210550
268       ;        ;;d'Anoia;d'Anoia;catalan;
269       ;        ;;de Aragó;d'Aragó;catalan;
270       ;        ;;Fogaça;Fogaça;portuguese;
271       ;        ;;Nunes;Nunes;portuguese;
272       ;        ;;de Bragança;de Bragança;portuguese;209531|209540|142021|142012|142013|142014|142015|142017|142018|142029|142030|142140|142141|142143|142144|142145|142146|142148|142159|142160|142161|142162|142163|142382|142441|142442|142444|142447|142448|142446|142449|142450|142451|142453|142456|142457|142458|142587|142590|142592|142593|142594|142595|142596|142598|142599|142600|142601|142602|142606|142613|142614|142607|142608|142611|142612
273       ;        ;;de Borgonha;de Borgonha;portuguese;
274       ;        ;;de Deza;de Deza;castillan;208520|72551|72878
275       ;        ;;de Borgoña;de Borgona;castillan;
276       ;        ;;Alonso;Alonso;castillan;
277       ;        ;;de Navarra;de Navarra;basque;106018|106021|106022|206500|206502|206510|206511|206512|206513|70135|71533|71534|71554|71555|71556|71557|206501|206503|206504|206506
278       ;        ;;de Traba;de Traba;castillan;207590|208550|208551|71359|71365|71366|71988|72168|72562|72777|72779|72780|72781|72782|72788|72790|72791|72792|72793|72794|72795|72796|72797|72798|72832|72833|72834|72835|72858|72859|72861|72862|72863|72864|72865|72866|72877|72879|72881|72882|72883|72884|72885|72886|72887|72888|72889|72890|72891
279       ;        ;;de Castro;de Castro;castillan;207580|457670|457672|457673|457674|71368|71370|71393|71394|71395|71396|71397|71398|71399|71400|71401|71509|72211|72213|72214|72215|72216|72360|72361|72362|72363|72379|72380|72383|72384|72385|72386|72387|72389|72390|72391|72392|72394|72395|72396|72402|72403|72404|72405|72406|72407|72408|72409|72410|72411|72413|72414|72415
280       ;        ;;de Narbonne;de Narbonne;frankish;10033|40212|40220|138216|138218|40210|40224|40214|40222|212790|138220|138222|207659|40216|40218|138224|138225|207550
281       ;        ;;d'Auxonne;de Bourgogne-Comté;frankish;71459|71460
282       ;        ;;von Hengebach;von Heimbach;german;206930|206931|206932
283       ;        ;;von Vianden;von Vianden;german;206920|30680
284       ;        ;;von Nörvenich;von Nörvenich;german;206910|206911
285       ;        ;;von Jülich-Hengebach;von Jülich;german;30610|30611|30612|30613|30614|30615|30616|30617|30620|30621|30622|30623|30625|30626|30627|30628|30629|30630|30631|30632|30633|30634|30635|30636|30637|30638|30639|30640|30641|30642|462930|462932|462933|462934|462935|462936|462937|462938|462940|487032
286       ;        ;;van Bonen;van Bonen;dutch;
287       ;        ;;von Limburg;von Limburg;german;129007|30334|500004|33214|33135|33137|33138|33140|33141|33142|33143|33144|33145|33147|33148|33149|33150|33152|33153|33154|33155|33156|33184|206870|30618|31812|161533|900030
288       ;        ;;van Sulzbach;van Sulzbach;dutch;
289       ;        ;;von Eppstein;von Eppstein;german;7539|7540|7541|7542|7543|7546|7547|7549|7550|7551|7552|7553|7554
290       ;        ;;von Rheineck;van Rheineck;german;33062
291       ;        ;;van Wassemberg;van Wassemberg;dutch;
292       ;        ;;van Geldern;van Geldern;dutch;
293       ;        ;;van Bergh;van Bergh;dutch;
294       ;        ;;de Metz;von Metz;frankish;487014
295       ;        ;;de l'Aigle;de l'Aigle;frankish;206508|206509|82067|161449
296       ;        ;;del Carpio;del Carpio;castillan;206520
297       ;        ;;Trencval;Trencval;occitan;205995
298       ;        ;;de Flotte;de Flotte;frankish;205990
299       ;        ;;de Liernais;d'Urgel;frankish;
300       ;        ;;de Vendôme;de Vendome;frankish;
301       ;        ;;de Chaource;de Champagne;frankish;
302       ;        ;;de Namur;de Namur;frankish;106571|205945|212690|212691|212692|212693|6643|90116|90117|90118|90119|32276|32285|32286|32287|32288|33206|34352|161534|161536|161537|161921|161922|183154
303       ;        ;;de Bissy;de Bissy;frankish;
304       ;        ;;d'Eu;d'Eu;frankish;
305       ;        ;;von Margrave;von Margrave;german;
306       ;        ;;du Perche;du Perche;frankish;205880|205881|205882|205883|205884|205885
307       ;        ;;van Brabant;van Brabant;dutch;
308       ;        ;;de Boulogne;de Boulogne;frankish;10065|10067|10069|10071|10072|10073|160415|20142|205860|30910|30911|30913|30914|30915|30916|30917|316|317|41729|32135|32136
309       ;        ;;de Dinan;de Dinan;breton;205840
310       ;        ;;de Vitré;de Vitré;breton;91197|91199|205830|205831
311       ;        ;;de Cornouaille;de Cornouaille;breton;10041|10042|10051|10053|10054|10055|178|180|50001|91159|91168|205825|159668|159669|159670|159671|159672|159673|159674|159675|159676|159677|159678|160071|160072|160073|160074|160075
312       ;        ;;de Rohan;de Rohan;breton;144155|144156|205800|205801|205802|205803|40907|40908|40909|40910|205810|205811|205812|205814
313       ;        ;;de Porhoët;de Porhoët;breton;205804
314       ;        ;;du Puy du Fou;Puy du Fou;frankish;205770
315       ;        ;;de Preuilly;de Preuilly;frankish;205760|205761|205970|205972|205973|205977|205978|231020|91305|91308
316       ;        ;;de Guingamp;de Guingamp;norman;205745
317       ;        ;;de Penthièvre;de Penthièvre;frankish;10047|10048|346|350|354|356|91161|91162|91163|91164|91165|91169|205740|205741|205744|205750|205751|455580|455581|91261|91262|91263|91264|91265|91266|91267|91268|91269|91270|91271|91272|91273|91274|91275|91276|91277|91278|91279|91280|91281|91282|91283|91284|91285|91286|91287|91288|91289|91290|91291|91292|91293|91294|91295|91296|91258|91297|91298|91299|91300|91301|91302|91303|91304|91306|91307|91309|91310|91311|91312|91313|91314|91315|91316|91317|91318|91319|91320|91321|205742|205743|205746|205747|205748
318       ;        ;;de Châtellerault;de Châtellerault;occitan;127030|205732
319       ;        ;;de Laval;de Laval;frankish;455547
320       ;        ;;de Nevers;de Bachaumont;frankish;10011|10017|10025|10026|20176|205710|205711|205713|205715|205716|40370|40372|40374|40375|40376|40377|40378|40379|40381|40383|40384|40386|40387|40905|40906|91151|91152|91259
321       ;        ;;de Salins;de Salins;frankish;205702
322       ;        ;;de Méziriac;de Méziriac;frankish;230033
323       ;        ;;d'Oisy;d'Oisy;frankish;91061
324       ;        ;;de Barthe;de Barthe;frankish;205675
325       ;        ;;de Fezensac;de Fezensac;frankish;205672|138140|138142|138144|138146|138148|138150
326       ;        ;;de Brézé;de Brézé;norman;
328       ;        ;;de Boisrobert;de Boisrobert;frankish;
327       ;        ;;de Rancon;de Rancon;occitan;205662
329       ;        ;;de Bourbon-Archambault;de Bourbon;frankish;205650|205651|205652|40150|40152|40154|40156|40158|40160|40162|40164|40165|40166|40168|40170|40172|40174|40176|40178|455658|7484
330       ;        ;;d'Angoulême;d'Angoulême;frankish;
331       ;        ;;de Guiana;de Guyenne;occitan;205630|205631|205632|40540|40541|40543|40545|40546|40547|455631|455633|455634
332       ;        ;;Le Tellier;Le Tellier;frankish;205615|205616
333       ;        ;;de Talleyrand;de Talleyrand;frankish;
334       ;        ;;de Batarnay;de Batarnay;frankish;
335       ;        ;;de Beaumont-au-Maine;de Beaumont-au-Maine;frankish;202987|202988|202989|161604
336       ;        ;;de Montcada;de Montcada;catalan;71655|71656|71657|71658|71659|71660|71661|71662|71663|71664|71665|71667|71668|71718|71771|71772|71773|72296|205540|205542|205543|205544|138184|138186|138163|138165|138167|138169|72189|200109
337       ;        ;;de Biarn;de Béarn;occitan;138162|168123|138164|138166|138168|138170|40000|40002|40003|138172|138173|138174
338       ;        ;;de Hainaut;de Hainaut;frankish;
339       ;        ;;de Crécy;de Crecy;frankish;
340       ;        ;;de Bellegarde;de Bellegarde;frankish;
341       ;        ;;de St. Hilary;de St. Hilary;frankish;204751
342       ;        ;;d'Aubigny;d'Aubigny;frankish;144237|144238|144239|144240|204750|204755
343       ;        ;;de Albemarle;de Albemarle;frankish;204741
344       ;        ;;de Mandeville;de Mandeville;english;204740|204745|129050|161365|161366|129048|129049
345       ;        ;;de Verre;de Verre;frankish;
346       ;        ;;de Bigod;de Bigod;norman;204730|204731|204735|7376|7454|7455|7456|7457
347       ;        ;;de Warren;de Warren;norman;230525|230527|230529|454572|454579|454581
348       ;        ;;de Newburgh;de Newburgh;norman;
349       ;        ;;Peveral;Peveral;norman;204701|32500|32501|32502
350       ;        ;;de Braose;de Braose;norman;204000|204004|204006|204008|204009|204010|204011|204012|204013|204014|204593|204623|204692|161620|161621|161622|161623
351       ;        ;;de Toni;de Toni;norman;204691
352       ;        ;;de Ferrers;de Ferrers;norman;204690|204693|204694|204695|204696|204697|204698|204699|204700|7429|129041|129042|161612|161626|161627|41237|41241|41243|7430
353       ;        ;;d'Evreux;d'Evreux;frankish;455418|455810|455811|455812|455813|455814|455815|455816|455817|455818|455822|487045
354       ;        ;;de Blundeville;de Blundeville;norman;
355       ;        ;;de Mellent;de Mellent;frankish;204664|204665|204666|204670
356       ;        ;;de Baalun;de Baalun;frankish;204656
357       ;        ;;de Vernon;de Vernon;frankish;
358       ;        ;;de Gloucester;de Gloucester;norman;204621|204622|7461
359       ;        ;;de Bohun;de Bohun;english;204600|204601|204610|204620|454560|454561|454562|454564|454565|7452|7462|7463|7464|129039|129055|161607|161624|161625
360       ;        ;;Estouteville;Estouteville;frankish;204598
361       ;        ;;Dodington;Dodington;saxon;
362       ;        ;;de Grandmesnil;de Grandmesnil;norman;204581
363       ;        ;;de Gaunt;de Gaunt;norman;131
364       ;        ;;de Clare;de Clare;norman;203545|204561|204770|204771|204772|204773|204790|204795|204797|204798|204799|204801|204802|453066|454048|454049|454601|454606|454607|454608|454609|7436|7445|33367|155244|161441|41014|41017|41210|204792|204794
365       ;        ;;de Vere;de Vere;english;204550|204551|204552|204553|204554|204555|204560|204563|204736|454580|454583|454584|454586|129044|129047|161634
366       ;        ;;Stawell;Stawell;saxon;
367       ;        ;;Nicolay;Nicolay;frankish;
368       ;        ;;de Morville;de Morville;norman;332027|332028|332030|82076|82077|203571|332026
369       ;        ;;Angevin;Angevin;norman;
370       ;        ;;Dunbar;Dunbar;scottish;203556|203014|203016|453014|453063|7616|85018|963|203026|969|971|203019|203017|203018|203020
371       ;        ;;a Gall-Gaidelaib;of Galloway;scottish;203543|220024|230522|7383|203550|203540|83122|83123|83124|203542|203555|203560|203570|203572|203573|7427|188921
372       ;        ;;FitzWalter;FitzWalter;norman;
373       ;        ;;a Cairge;a Cairge;scottish;
374       ;        ;;Huntingdon;Huntingdon;saxon;
375       ;        ;;Roes;Roes;german;202515
376       ;        ;;av Norge;av Norge;norwegian;
377       ;        ;;de Ménessaire;of Burgundy;frankish;
378       ;        ;;av Danmark;af Danmark;danish;
379       ;        ;;Ulfhilde;Ulfhilde;norwegian;200522
