#ID     ;SED     ;VANILLA;CULTURE;CHARACTERS
#00_dynasties.txt;;;;
267     ;        ;de Vilademuls;catalan;210550
268     ;        ;d'Anoia;catalan;
269     ;        ;d'Aragó;catalan;
270     ;        ;Fogaça;portuguese;
271     ;        ;Nunes;portuguese;
272     ;        ;de Bragança;portuguese;209531|209540|142021|142012|142013|142014|142015|142017|142018|142029|142030|142140|142141|142143|142144|142145|142146|142148|142159|142160|142161|142162|142163|142382|142441|142442|142444|142447|142448|142446|142449|142450|142451|142453|142456|142457|142458|142587|142590|142592|142593|142594|142595|142596|142598|142599|142600|142601|142602|142606|142613|142614|142607|142608|142611|142612
273     ;        ;de Borgonha;portuguese;
274     ;        ;de Deza;castillan;208520|72878
275     ;        ;de Borgona;castillan;
276     ;        ;Alonso;castillan;
277     ;        ;de Navarra;basque;106018|106021|106022|206500|206502|206510|206511|206512|206513|70135|71533|71534|71554|71555|71556|71557|206501|206503|206504|206506
278     ;        ;de Traba;castillan;207590|208550|208551|71359|71365|71366|71988|72168|72562|72777|72779|72780|72781|72782|72788|72790|72791|72792|72793|72794|72795|72796|72797|72798|72832|72833|72834|72835|72858|72859|72861|72862|72863|72864|72865|72866|72877|72879|72881|72882|72883|72884|72885|72886|72887|72888|72889|72890|72891
279     ;        ;de Castro;castillan;207580|457670|457672|457673|457674|71368|71370|71393|71394|71395|71396|71397|71398|71399|71400|71401|71509|72211|72213|72214|72215|72216|72360|72361|72362|72363|72379|72380|72383|72384|72385|72386|72387|72389|72390|72391|72392|72394|72395|72396|72402|72403|72404|72405|72406|72407|72408|72409|72410|72411|72413|72414|72415
280     ;        ;de Narbonne;frankish;10033|40212|40220|138216|138218|40210|40224|40214|40222|212790|138220|138222|207659|40216|40218|138224|138225|207550
281     ;        ;de Bourgogne-Comté;frankish;71459|71460
282     ;        ;von Heimbach;german;206930|206931|206932
283     ;        ;von Vianden;german;206920|30680
284     ;        ;von Nörvenich;german;206910|206911
285     ;        ;von Jülich;german;30610|30611|30612|30613|30614|30615|30616|30617|30620|30621|30622|30623|30625|30626|30627|30628|30629|30630|30631|30632|30633|30634|30635|30636|30637|30638|30639|30640|30641|30642|462930|462932|462933|462934|462935|462936|462937|462938|462940|487032
286     ;        ;van Bonen;dutch;
287     ;        ;von Limburg;german;129007|30334|500004|33214|33135|33137|33138|33140|33141|33142|33143|33144|33145|33147|33148|33149|33150|33152|33153|33154|33155|33156|33184|206870|30618|31812|161533|900030
288     ;        ;van Sulzbach;dutch;
289     ;        ;von Eppstein;german;7539|7540|7541|7542|7543|7546|7547|7549|7550|7551|7552|7553|7554
290     ;        ;van Rheineck;dutch;33062
291     ;        ;van Wassemberg;dutch;
292     ;        ;van Geldern;dutch;
293     ;        ;van Bergh;dutch;
294     ;        ;von Metz;german;487014
295     ;        ;de l'Aigle;frankish;206508|206509|82067|161449
296     ;        ;del Carpio;castillan;206520
297     ;        ;Trencval;occitan;205995
298     ;        ;de Flotte;frankish;205990
299     ;        ;d'Urgel;norman;
300     ;        ;de Vendome;frankish;
301     ;        ;de Champagne;frankish;
302     ;        ;de Namur;frankish;106571|205945|212690|212691|212692|212693|6643|90116|90117|90118|90119|32276|32285|32286|32287|32288|33206|34352|161534|161536|161537|161921|161922|183154
303     ;        ;de Bissy;frankish;
304     ;        ;d'Eu;frankish;
305     ;        ;von Margrave;german;
306     ;        ;du Perche;frankish;205880|205881|205882|205883|205884|205885
307     ;        ;van Brabant;dutch;
308     ;        ;de Boulogne;frankish;10065|10067|10069|10071|10072|10073|160415|20142|205860|30910|30911|30913|30914|30915|30916|30917|316|317|41729|32135|32136
309     ;        ;de Dinan;breton;205840
310     ;        ;de Vitré;breton;91197|91199|205830|205831
311     ;        ;de Cornouaille;breton;10041|10042|10051|10053|10054|10055|178|180|50001|91159|91168|205825|159668|159669|159670|159671|159672|159673|159674|159675|159676|159677|159678|160071|160072|160073|160074|160075
312     ;        ;de Rohan;breton;144155|144156|205800|205801|205802|205803|40907|40908|40909|40910|205810|205811|205812|205814
313     ;        ;de Porhoët;breton;205804
314     ;        ;Puy du Fou;frankish;205770
315     ;        ;de Preuilly;frankish;205760|205761|205970|205972|205973|205977|205978|231020|91305|91308
316     ;        ;de Guingamp;norman;205745
317     ;        ;de Penthièvre;frankish;10047|10048|346|350|354|356|91161|91162|91163|91164|91165|91169|205740|205741|205744|205750|205751|455580|455581|91261|91262|91263|91264|91265|91266|91267|91268|91269|91270|91271|91272|91273|91274|91275|91276|91277|91278|91279|91280|91281|91282|91283|91284|91285|91286|91287|91288|91289|91290|91291|91292|91293|91294|91295|91296|91258|91297|91298|91299|91300|91301|91302|91303|91304|91306|91307|91309|91310|91311|91312|91313|91314|91315|91316|91317|91318|91319|91320|91321|205742|205743|205746|205747|205748
318     ;        ;de Châtellerault;occitan;127030|205732
319     ;        ;de Laval;frankish;455547
320     ;        ;de Bachaumont;frankish;10011|10017|10025|10026|20176|205710|205711|205713|205715|205716|40370|40372|40374|40375|40376|40377|40378|40379|40381|40383|40384|40386|40387|40905|40906|91151|91152|91259
321     ;        ;de Salins;frankish;205702
322     ;        ;de Méziriac;frankish;230033
323     ;        ;d'Oisy;frankish;91061
324     ;        ;de Barthe;frankish;205675
325     ;        ;de Fezensac;frankish;205672|138140|138142|138144|138146|138148|138150
326     ;        ;de Brézé;norman;
328     ;        ;de Boisrobert;frankish;
327     ;        ;de Rancon;occitan;205662
329     ;        ;de Bourbon;frankish;205650|205651|205652|40150|40152|40154|40156|40158|40160|40162|40164|40165|40166|40168|40170|40172|40174|40176|40178|455658|7484
330     ;        ;d'Angoulême;frankish;
331     ;        ;de Guyenne;occitan;205630|205631|205632|40540|40541|40543|40545|40546|40547|455631|455633|455634
332     ;        ;Le Tellier;frankish;205615|205616
333     ;        ;de Talleyrand;frankish;
334     ;        ;de Batarnay;frankish;
335     ;        ;de Beaumont-au-Maine;frankish;202987|202988|202989|161604
336     ;        ;de Montcada;catalan;71655|71656|71657|71658|71659|71660|71661|71662|71663|71664|71665|71667|71668|71718|71771|71772|71773|72296|205540|205542|205543|205544|138184|138186|138163|138165|138167|138169|72189|200109
337     ;        ;de Béarn;occitan;138162|168123|138164|138166|138168|138170|40000|40002|40003|138172|138173|138174
338     ;        ;de Hainaut;frankish;
339     ;        ;de Crecy;frankish;
340     ;        ;de Bellegarde;frankish;
341     ;        ;de St. Hilary;frankish;204751
342     ;        ;d'Aubigny;frankish;144237|144238|144239|144240|204750|204755
343     ;        ;de Albemarle;frankish;204741
344     ;        ;de Mandeville;english;204740|204745|129050|161365|161366|129048|129049
345     ;        ;de Verre;frankish;
346     ;        ;de Bigod;norman;204730|204731|204735|7376|7454|7455|7456|7457
347     ;        ;de Warren;norman;230525|230527|230529|454572|454579|454581
348     ;        ;de Newburgh;norman;
349     ;        ;Peveral;norman;204701|32500|32501|32502
350     ;        ;de Braose;norman;204000|204004|204006|204008|204009|204010|204011|204012|204013|204014|204593|204623|204692|161620|161621|161622|161623
351     ;        ;de Toni;norman;204691
352     ;        ;de Ferrers;norman;204690|204693|204694|204695|204696|204697|204698|204699|204700|7429|129041|129042|161612|161626|161627|41237|41241|41243|7430
353     ;        ;d'Evreux;frankish;455418|455810|455811|455812|455813|455814|455815|455816|455817|455818|455822|487045
354     ;        ;de Blundeville;norman;
355     ;        ;de Mellent;frankish;204664|204665|204666|204670
356     ;        ;de Baalun;frankish;204656
357     ;        ;de Vernon;frankish;
358     ;        ;de Gloucester;norman;204621|204622|7461
359     ;        ;de Bohun;english;204600|204601|204610|204620|454560|454561|454562|454564|454565|7452|7462|7463|7464|129039|129055|161607|161624|161625
360     ;        ;Estouteville;frankish;204598
361     ;        ;Dodington;saxon;
362     ;        ;de Grandmesnil;norman;204581
363     ;        ;de Gaunt;norman;
364     ;        ;de Clare;norman;203545|204561|204770|204771|204772|204773|204790|204795|204797|204798|204799|204801|204802|453066|454048|454049|454601|454606|454607|454608|454609|7436|7445|33367|155244|161441|41014|41017|41210|204792|204794
365     ;        ;de Vere;english;204550|204551|204552|204553|204554|204555|204560|204563|204736|454580|454583|454584|454586|129044|129047|161634
366     ;        ;Stawell;saxon;
367     ;        ;Nicolay;frankish;
368     ;        ;de Morville;norman;332027|332028|332030|82076|82077|203571|332026
369     ;        ;Angevin;norman;
370     ;        ;Dunbar;scottish;203556|203014|203016|453014|453063|7616|85018|963|203026|969|971|203019|203017|203018|203020
371     ;        ;of Galloway;scottish;203543|220024|230522|7383|203550|203540|83122|83123|83124|203542|203555|203560|203570|203572|203573|7427|188921
372     ;        ;FitzWalter;norman;
373     ;        ;a Cairge;scottish;
374     ;        ;Huntingdon;saxon;
375     ;        ;Roes;german;202515
376     ;        ;av Norge;norwegian;
377     ;        ;of Burgundy;frankish;
378     ;        ;af Danmark;danish;
379     ;        ;Ulfhilde;norwegian;200522
380     ;        ;de Vexin-Amiens;frankish;40398|40399|40400|40402|40404|40406|40409|40411|40412|40414|40416|40418|40422|40424|40426|40428|90150|161292|168063|40420
381     ;        ;Erik;swedish;144648|144649|200490|200500|200501|200502|200503|200504|200505|200506|200507|200508|30546|30547|450511|170024|170025
382     ;        ;Lockhart;saxon;
383     ;        ;di Torino;italian;
384     ;        ;de Bolea;castillan;
385     ;        ;de Tosny;norman;454054|161603|161605|161606|161608|161609|110635|110637|110639|30918|161450|161600|161601
386     ;        ;de Comminges;frankish;138188|168118|168119|168120|205564|40180|40196|40198|323|40182|40184|40186|40187|455551|138190|138191|138192|138193|138189|138194|138196|138198|138199|138200|205561|205560|205565|205566|205567|138202|138204|138195|455550|455555|455552|455553|455556|455557|205563|138284|200110|200111|200113|200114|200115|200116|200122|200123|200124
387     ;        ;de Lluçà;catalan;
388     ;        ;de Vasconia;basque;7562|7563|40011|54000|54001|127017|127049|127050|127051|127053|127054|163060|163061|168104|168105|168106|168107|168108|168109|168110|168111|168112|168113|168114|168115|168117|168121|168122|168124|168125|168126|168143
389     ;        ;de Nimes;frankish;
390     ;        ;de Acuña;castillan;
391     ;        ;de Bezieres;occitan;110591
392     ;        ;de Rocabertí;catalan;110583|110584|110585|71654|72237|72238|72239|72240|72241|72242|72245|72246|72248|72249|72251|72252|72254|72255|72256|72257|72258|72259|72261|72262|72263|72265|72266|72267|72268|72269|72273|72274|72275|72276|72280|72281|72282|72283|72284|72285|72286|72287|72288|72289|72290|72293|72294|72295|72297|72298|72299
393     ;        ;d'Empúries;catalan;110580|110581|110582|110586|110587|110588|110589|110590|110592|110610|110612|110614|110615|110616|110620|210560|70287|72084|72086|72095|72097|72098|72099|72100|72101|72102|72107|72108|72109|72113|72114|72115|72116|72117|72118|72120|72121|72122|74101|74103|110600
394     ;        ;de Ribera;catalan;
395     ;        ;d'Urgell;catalan;110501|110550|110560|110561|110562|110563|110564|110570|110571|210570|210571|210572|210575|210576|70182|71371|72132|72139|72140|72141|72142|72143|72145|72148|72149|72150|72133|72135|72136|72137|72138|205980|205981|205982|205983|205984|205985
396     ;        ;Mendes;portuguese;
397     ;        ;Ramírez;castillan;108591
398     ;        ;Trillo de las Asturias;castillan;
399     ;        ;de Agurto;basque;
400     ;        ;de Menezes;castillan;457661|457662|457663|457664|457665|142308|142316|142317|142318|142323|142326|142327|142325|142042|142043|142046|142049|142050|142044|142045|142153|142047|142048|142315|459513|142310|200097|200098|200099|200100
401     ;        ;de las Asturias;castillan;72757|72758|72759|72760|72761|72762|72763|72764|72766|72768|72769|72770|72773|72774|72775
402     ;        ;de Oviedo;castillan;71354|72701|72702|72703|72704|72705|72716|72717|72718|72719|108510|108512|108514|108519|70091
403     ;        ;de Alba de Liste;castillan;
404     ;        ;de Tilly;frankish;
405     ;        ;Ansúrez;visigothic;107640|107642|107643|107644|107645|107646|70100|70103|70104|1235001|1235002|1235003|1065305|1065306|1065307
406     ;        ;de Castrogeriz;castillan;
407     ;        ;de Vivar;castillan;107590|107600|107610|107620|210509|70210|70212|71541|71542
408     ;        ;de Alencastre;castillan;
409     ;        ;de Ovando;castillan;
410     ;        ;de Vizcaya;basque;
411     ;        ;de Viguera;castillan;
412     ;        ;d'Ávalos;basque;
413     ;        ;de Poitou;occitan;223651|223742|223743|223744|223750|223755|223756|223757|31013|31014|31016|31017|31018|31020|31021|31023|31024|31025|31027|31028|31029|31031|31032|31034|31035|31036|31037|90127|90128|90129|90130|31026|31850|168053|168054|168055|168056|168057|168058|127028|127029|127032|127033|127034|127035|127036|127037|127038|205730|205731|205733|223740|228|230|231|232|233|234|235|236|238|239|240|7623|237
414     ;        ;de Mons;frankish;
415     ;        ;de Hainault;frankish;
416     ;        ;Luitpolding;german;4262
417     ;        ;van Teisterbant;frisian;167788|167789|168213|168214|168215|168216|168217|168218|168219
418     ;        ;Wuffing;saxon;
419     ;        ;van Leuven;frisian;
420     ;        ;von Luxemburg;german;106591|106650|106652|1250|1254|1255|1256|1257|1258|206845|40707|40708|40709|40710|500000|500001|500002|7585|7586|7975|33139|165022|165025|212700|161959|161981
421     ;        ;van Gent;frisian;106590|106592|106594|106595|106596|106597|32153|32200|32201|32202|32204
422     ;        ;von Hornes;german;30675
423     ;        ;van Namen;dutch;
424     ;        ;van Loon;dutch;106570|106572|106574|206800|206801|206802|206803|206804|206805|206806|30010|41725|462161|479|31377|33060|33061|33063|33065|33066|33067|33068|33069|33070|33071|33072|33073|33074|33075|33076|33077|33078|33079|33080|33081|33082|33083|33084|33085|33086|33087|33088|33089|33090|33091|33092|33093|33108|212970
425     ;        ;van Heinsberg;dutch;
426     ;        ;de Montaigu;frankish;106543|138381
427     ;        ;Flamens;dutch;106530|106540|106542|106544|30011|30012|30013|30015|30016|30017|30018|30019|30020|30021|30022|30023|30024|30025|30026|30027|30028|30029|30030|30031|30032|30033|30034|30035|30036|30037|30038|30039|30040|30041|30042|30043|30044|30045|30046|30047|30048|30049|30053|30055|30079|41718|41719|41720|33215|33098|33099|33100|33101|33102|33103|33104|33105|212920|212922|212923|212924|212925|212939|213181|30052|30056|30057|30058|30060|30951|30953|30954|30955|30956|30957|30958|30959|30960|30961|30962|30963|30964|30965|30966|30967|30968|30969|30970|30971|30975|30976|30977|462920|462921|462922|462923|462925|462927|33151|33171|161695|161696
